# These non-bird classes are included in training, but ignored in analysis (see ignore.txt)
Indigo Bunting,INBU
Kentucky Warbler,KEWA
Killdeer,KILL
Kirtland's Warbler,KIWA
Lark Sparrow,LASP
Least Bittern,LEBI
Least Flycatcher,LEFL
LeConte's Sparrow,LCSP
Lincoln's Sparrow,LISP
Loggerhead Shrike,LOSH
Long-eared Owl,LEOW
Louisiana Waterthrush,LOWA
Magnolia Warbler,MAWA
Mallard,MALL
Marsh Wren,MAWR
Merlin,MERL
Mourning Dove,MODO
Mourning Warbler,MOWA
Nashville Warbler,NAWA
Nelson's Sparrow,NESP
Northern Cardinal,NOCA
Northern Flicker,NOFL
Northern Goshawk,NOGO
Northern Harrier,NOHA
Northern Hawk Owl,NHOW
Northern Parula,NOPA
Northern Saw-whet Owl,NSWO
Northern Waterthrush,NOWA
Olive-sided Flycatcher,OSFL
Orange-crowned Warbler,OCWA
Orchard Oriole,OROR
Osprey,OSPR
Ovenbird,OVEN
Palm Warbler,PAWA
Peregrine Falcon,PEFA
Pileated Woodpecker,PIWO
Pine Grosbeak,PIGR
Pine Siskin,PISI
Pine Warbler,PIWA
Prairie Warbler,PRAW
Prothonotary Warbler,PROW
Purple Finch,PUFI
Purple Martin,PUMA
Red Crossbill,RECR
Red-bellied Woodpecker,RBWO
Red-breasted Nuthatch,RBNU
Red-eyed Vireo,REVI
Red-headed Woodpecker,RHWO
Red-shouldered Hawk,RSHA
Red-tailed Hawk,RTHA
Red-winged Blackbird,RWBL
Ring-billed Gull,RBGU
Rock Pigeon,ROPI
Rose-breasted Grosbeak,RBGR
Rough-legged Hawk,RLHA
Ruby-crowned Kinglet,RCKI
Ruffed Grouse,RUGR
Rusty Blackbird,RUBL
Sandhill Crane,SACR
Savannah Sparrow,SAVS
Scarlet Tanager,SCTA
Sedge Wren,SEWR
Sharp-shinned Hawk,SSHA
Short-eared Owl,SEOW
Snow Bunting,SNBU
Snowy Owl,SNOW
Song Sparrow,SOSP
Sora,SORA
Spotted Towhee,SPTO
Summer Tanager,SUTA
Swainson's Thrush,SWTH
Swamp Sparrow,SWSP
Tennessee Warbler,TEWA
Townsend's Solitaire,TOSO
Tree Swallow,TRES
Trumpeter Swan,TRUS
Tufted Titmouse,TUTI
Upland Sandpiper,UPSA
Varied Thrush,VATH
Veery,VEER
Vesper Sparrow,VESP
Virginia Rail,VIRA
Warbling Vireo,WAVI
Western Tanager,WETA
Whimbrel,WHIM
White-breasted Nuthatch,WBNU
White-crowned Sparrow,WCSP
White-eyed Vireo,WEVI
White-throated Sparrow,WTSP
White-winged Crossbill,WWCR
Wild Turkey,WITU
Willow Flycatcher,WIFL
Wilson's Snipe,WISN
Wilson's Warbler,WIWA
Winter Wren,WIWR
Wood Duck,WODU
Wood Thrush,WOTH
Yellow Rail,YERA
Yellow Warbler,YEWA
Yellow-bellied Flycatcher,YBFL
Yellow-bellied Sapsucker,YBSA
Yellow-billed Cuckoo,YBCU
Yellow-breasted Chat,YBCH
Yellow-headed Blackbird,YHBL
Yellow-rumped Warbler,YRWA
Yellow-throated Vireo,YTVI
Yellow-throated Warbler,YTWA
